시군구,코드,세션,C1,서버 이벤트,C2,서버 총량,서버 사용량,서버 가용량,서버 PID,C4,서버 OCI,C5,서버 로그레벨,C6,웹 이벤트,C8,웹 총량,웹 사용량,웹 가용량,웹 PID,C10,웹 로그레벨,C11,특이사항,서버 점검일,이름,연락처,웹 점검일,서버 재기동,웹 재기동
서울특별시 본청,11000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 종로구,11110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 중구,11140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 용산구,11170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 성동구,11200,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 광진구,11215,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 동대문구,11230,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 중랑구,11260,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 성북구,11290,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 강북구,11305,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 도봉구,11320,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 노원구,11350,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 은평구,11380,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 서대문구,11410,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 마포구,11440,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 양천구,11470,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 강서구,11500,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 구로구,11530,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 금천구,11545,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 영등포구,11560,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 동작구,11590,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 관악구,11620,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 서초구,11650,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 강남구,11680,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 송파구,11710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
서울특별시 강동구,11740,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 본청,26000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 중구,26110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 서구,26140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 동구,26170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 영도구,26200,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 부산진구,26230,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 동래구,26260,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 남구,26290,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 북구,26320,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 해운대구,26350,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 사하구,26380,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 금정구,26410,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 강서구,26440,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 연제구,26470,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 수영구,26500,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 사상구,26530,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
부산광역시 기장군,26710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 본청,27000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 중구,27110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 동구,27140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 서구,27170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 남구,27200,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 북구,27230,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 수성구,27260,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 달서구,27290,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대구광역시 달성군,27710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 본청,28000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 중구,28110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 동구,28140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 남구,28170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 연수구,28185,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 남동구,28200,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 부평구,28237,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 계양구,28245,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 서구,28260,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 강화군,28710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
인천광역시 옹진군,28720,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
광주광역시 본청,29000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
광주광역시 동구,29110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
광주광역시 서구,29140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
광주광역시 남구,29155,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
광주광역시 북구,29170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
광주광역시 광산구,29200,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대전광역시 본청,30000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대전광역시 동구,30110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대전광역시 중구,30140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대전광역시 서구,30170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대전광역시 유성구,30200,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
대전광역시 대덕구,30230,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
울산광역시 본청,31000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
울산광역시 중구,31110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
울산광역시 남구,31140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
울산광역시 동구,31170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
울산광역시 북구,31200,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
울산광역시 울주군,31710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
세종특별자치시 본청,36110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
